terms,definitions,source,assigned_readability,flesch_reading_ease,flesch_kincaid_grade,smog_index,coleman_liau_index,automated_readability_index,dale_chall_readability_score,difficult_words,linsear_write_formula,gunning_fog,text_standard,fernandez_huerta,szigriszt_pazos,gutierrez_polini,crawford,gulpease_index,osman
William H. Gross,"Legendary bond investor who founded Pacific Investment Management Company (PIMCO), the largest bond fund in the world as of 2014. William H. Gross is notably known in the investment world as the king of bonds.",investopedia,1,70.63,7.8,0.0,10.44,10.9,11.72,8,11.25,10.43,10th and 11th grade,105.0,100.34,42.24,2.4,56.1428571428571,58.67
return on assets ROA,A profitability ratio; earnings before interest and taxes divided by total assets.,zvi,0,17.0,13.9,0.0,15.18,12.5,14.76,8,8.0,14.8,14th and 15th grade,68.6,65.04,35.23,5.1,54.8333333333333,39.49
Capital asset pricing model,"A method of valuing ASSETS and calculating the COST OF CAPITAL (for an alternative, see ARBITRAGE PRICING THEORY). The capital asset pricing model (CAPM) has come to dominate modern finance.",economist,1,39.33,11.5,0.0,11.88,11.4,11.75,12,11.0,12.67,11th and 12th grade,83.6,79.7,40.16,4.0,55.3333333333333,48.54
EQUITABLE CONTROL,A theoretical concept in CORPORATE GOVER- NANCE where managers obtain or receive power from diffuse SHAREHOLDERS and act in the best interests of the firm.,palgrave,0,37.64,14.2,0.0,12.94,15.8,11.82,9,16.5,16.4,11th and 12th grade,79.4,77.17,36.4,4.0,48.6,42.9
ABATEMENT,A reduction in a payment due from an individual or company with insufficient funds or ASSETS to meet the full amount. An abatement may lead to cancellation of payments or some other form of RESTRUCTURING.,palgrave,0,53.71,10.1,0.0,10.26,10.2,8.56,8,11.75,12.71,9th and 10th grade,93.0,87.88,42.52,3.4,57.5714285714286,60.74
Federal Agencies,"Federal agencies are special government organizations set up for a specific purpose such as, the management of resources, financial oversight of industries, or national security issues. These organizations are typically created by legislative action, but may initially be set up by presidential order as well. The directors of these agencies are typically selected by presidential appointment.",investopedia,1,18.65,15.3,17.9,17.0,16.4,11.05,23,16.0,18.91,15th and 16th grade,67.8,61.34,31.33,5.5,44.7142857142857,27.69
Underemployment (resource),A situation that occurs when scarce resources are not put to their highest-valued use in the production of goods and services.,9_12_louis,1,58.62,10.3,0.0,11.43,12.9,10.69,7,13.5,12.21,10th and 11th grade,95.4,90.9,39.81,3.1,52.8095238095238,52.81
Central Counterparty Clearing House (CCP),"A central counterparty clearing house (CCP) is an entity that helps facilitate trading in various European derivatives and equities markets. Typically operated by the major banks in each country, CCPs strive to introduce efficiency and stability into various financial markets. It reduces counterparty, operational, settlement, market, legal, and default risk for traders.",investopedia,1,11.62,15.9,16.7,16.99,16.3,13.0,21,14.3333333333333,17.69,16th and 17th grade,63.2,61.31,31.31,5.5,44.5769230769231,26.02
Unemployment compensation,A program providing cash benefits for a specified period of time to workers who lose a job through no fault of their own. Also known as unemployment insurance.,6_8_louis,1,57.27,8.8,0.0,9.04,7.8,8.84,8,9.0,14.17,8th and 9th grade,96.6,94.94,45.26,2.8,63.2857142857143,68.27
BROAD MONEY,"The broad definition of MONEY SUPPLY, often measured through M3. See also NARROW MONEY.",palgrave,0,55.91,7.2,0.0,9.46,7.0,8.5,3,3.0,5.66,6th and 7th grade,97.7,93.04,43.56,2.1,79.0,65.87
Force Majeure,Force majeure refers to a clause that is included in contracts to remove liability for natural and unavoidable catastrophes that interrupt the expected course of events and prevent participants from fulfilling obligations.,investopedia,1,22.08,18.1,0.0,17.76,22.7,13.61,13,26.0,25.3,17th and 18th grade,66.2,59.97,26.41,5.0,38.6875,12.65
STOCK INDEX,"An INDEX that includes a large number of quoted STOCKS, and which serves as a reference BENCHMARK for a country’s stock market. In many cases stock indexes are directly traded through DERIVATIVES and EXCHANGE-TRADED FUNDS, and can serve as a convenient INVESTMENT and RISK MANAGEMENT tool. Also known as SHARE INDEX.",palgrave,0,54.22,9.9,12.5,12.0,11.7,10.05,14,11.1666666666667,12.29,11th and 12th grade,93.5,92.11,39.8,3.1,54.4901960784314,52.2
Glide Path,"Glide path refers to a formula that defines the asset allocation mix of a target-date fund, based on the number of years to the target date. The glide path creates an asset allocation that typically becomes more conservative (i.e., includes more fixed-income assets and fewer equities) as a fund gets closer to the target date.",investopedia,1,43.56,14.0,0.0,10.74,15.7,11.03,14,17.75,14.64,10th and 11th grade,82.8,80.79,39.19,3.6,50.2727272727273,48.46
Discount,"A discount, broadly, refers to some reduction in the going price of an item or asset. In finance and investing, a discount refers to a situation when a security is trading for lower than its fundamental or intrinsic value.",investopedia,1,51.68,10.9,0.0,9.34,10.6,10.27,12,12.75,13.95,10th and 11th grade,91.0,86.7,43.85,3.5,57.2051282051282,63.19
marginal lending facility,The European Central Bank™s standing lending facility in which banks can borrow @against eligible collateral@ over-night loans from the national central bank at a rate 100 basis points above the target financing rate.,fmi,0,29.52,17.3,0.0,15.1,21.5,12.93,11,22.5,20.47,12th and 13th grade,71.2,70.0,30.45,4.1,42.030303030303,22.21
Bitcoin Wallet,"A Bitcoin wallet is a software program in which Bitcoins are stored. Technically, Bitcoins are not stored anywhere. For every individual who has a balance in a Bitcoin wallet, there is a private key (secret number) corresponding to the Bitcoin address of that wallet. Bitcoin wallets facilitate the sending and receiving of Bitcoins and give ownership of the Bitcoin balance to the user. The Bitcoin wallet comes in many forms. The four main types are desktop, mobile, web, and hardware.",investopedia,1,55.24,9.5,9.4,11.13,10.6,8.97,18,6.66666666666667,9.4,9th and 10th grade,94.5,94.27,41.59,2.9,56.625,54.58
Collateral,"The term collateral refers to an asset that a lender accepts as security for a loan. Collateral may take the form of real estate or other kinds of assets, depending on the purpose of the loan. The collateral acts as a form of protection for the lender. That is, if the borrower defaults on their loan payments, the lender can seize the collateral and sell it to recoup some or all of its losses.",investopedia,1,69.62,8.1,11.2,7.43,8.3,8.39,14,11.25,10.1,7th and 8th grade,104.0,99.09,47.43,2.5,61.7027027027027,73.2
Division of labor (elementary),Having people complete one small part of a larger task when producing a good or service.,pre_louis,1,72.16,7.2,0.0,8.52,8.0,7.39,3,8.0,8.9,7th and 8th grade,106.5,101.28,45.95,2.4,62.125,69.69
Gross National Income (GNI),GNI is the total amount of money earned by a nation's people and businesses. It is used to measure and track a nation's wealth from year to year. The number includes the nation's gross domestic product plus the income it receives from overseas sources.,investopedia,1,73.47,6.7,7.8,8.87,8.3,9.03,8,7.0,7.7,6th and 7th grade,107.9,105.8,45.31,2.0,61.9545454545455,64.45
Americans with Disabilities Act (ADA),"The Americans with Disabilities Act (ADA) prohibits discrimination against people with disabilities and guarantees that they have equal opportunity to participate in mainstream American life. Passed in 1990, this federal law made it illegal to discriminate against a disabled person in terms of employment opportunities, access to transportation, public accommodations, communications, and government activities.",investopedia,1,1.77,19.7,0.0,20.6,23.4,11.7,19,22.5,21.91,22nd and 23rd grade,53.3,50.62,22.88,6.0,33.6296296296296,4.12
Multilateral Investment Guarantee Agency (MIGA),The Multilateral Investment Guarantee Agency is an international institution that promotes investment in developing countries by offering political and economic risk insurance.,investopedia,1,-27.01,22.5,0.0,23.32,22.8,14.78,13,22.0,26.98,22nd and 23rd grade,34.4,31.92,19.6,7.7,32.1818181818182,-4.01
Startup,"The term startup refers to a company in the first stages of operations. Startups are founded by one or more entrepreneurs who want to develop a product or service for which they believe there is demand. These companies generally start with high costs and limited revenue, which is why they look for capital from a variety of sources such as venture capitalists.",investopedia,1,58.92,10.2,13.0,10.39,11.7,9.5,15,13.3333333333333,12.8,9th and 10th grade,95.7,92.72,41.66,3.0,55.1290322580645,56.57
LSE,See LONDON STOCK EXCHANGE.,palgrave,0,75.88,3.7,0.0,8.7,7.7,7.78,1,1.0,1.6,7th and 8th grade,112.8,109.39,40.45,-1.3,106.5,63.74
Oral Contract,"An oral contract is a type of business contract that is outlined and agreed to via spoken communication, but not written down. Although it can be difficult to prove the terms of an oral contract in the event of a breach, this type of contract is legally binding. Oral contracts are often mistakenly referred to as verbal contracts, but a verbal contract is really any contract since all contracts are created using language.",investopedia,1,55.27,11.6,10.5,10.51,13.4,9.38,14,13.8333333333333,11.91,11th and 12th grade,92.1,90.33,40.71,3.0,53.1095890410959,53.2
FRONT MONTH,See NEARBY CONTRACT.,palgrave,0,59.97,5.6,0.0,7.32,8.3,9.05,1,0.5,1.2,0th and 1st grade,101.8,100.0,39.18,-2.2,129.0,60.72
Yearly Probability of Dying,Yearly probability of dying is a numerical figure that depicts the likelihood of someone dying per year. The yearly probability of dying is determined by looking at a mortality table which shows the rate of death at each age in terms of the number of deaths per thousand. The data in the chart is determined by dividing the number of people dying during a given year by the number of people alive at the beginning of that same year.,investopedia,1,44.78,13.5,13.0,8.77,12.8,7.74,10,16.1666666666667,13.56,13th and 14th grade,84.0,83.5,42.89,3.4,55.5822784810127,60.2
hierarchical mandate,"A mandate for the central bank that puts the goal of price stability first, but as long as it is achieved other goals can be pursued.",fmi,0,70.47,9.9,0.0,6.68,11.1,9.18,4,14.0,11.94,9th and 10th grade,102.3,101.76,46.55,2.0,59.0,73.03
BASIS,"The price differential between an underlying ASSET reference and a DERIVATIVE contract used as a HEDGE. The basis arises as a result of differ- ences in SUPPLY/DEMAND, reference INDEXES, or FRICTION COSTS (includ- ing COST OF CARRY, storage, INSURANCE, transportation). See also  RISK, NEGATIVE , POSITIVE .",palgrave,0,30.87,12.7,14.1,13.68,13.3,13.15,20,11.5,14.0,13th and 14th grade,77.6,72.77,37.14,4.6,51.2222222222222,42.09
automated teller machine @ATM@,"An electronic machine that allows customers to get cash, make deposits, transfer funds from one account to another, and check balances.",fmi,0,58.62,10.3,0.0,13.4,14.9,9.94,6,12.5,10.3,9th and 10th grade,95.4,90.9,36.58,3.1,48.5238095238095,43.6
Fixed input,An input which cannot be varied in the short run is called a fixed input.,ncert_class12_econ,1,81.63,5.6,0.0,4.57,4.6,8.59,2,6.5,6.0,5th and 6th grade,113.6,112.92,52.44,1.4,69.6666666666667,90.45
super display book @SDBK@,A computerized system for executing trades very rapidly that removes the specialist from the process.,fmi,0,47.79,10.3,0.0,15.36,13.4,11.75,5,10.5,14.0,10th and 11th grade,89.6,83.85,34.34,3.7,51.0,37.26
BUSINESS JUDGMENT RULE,"A legal rule that permits DIRECTORS and executives of a company to make all relevant corporate business decisions, as long as they are made on an informed basis (i.e., with a DUTY OF CARE). The intent is to prevent the courts from adjudicating on whether or not a business decision is correct; they are limiting to judging only whether it has been made on the basis of appropriate facts and information.",palgrave,0,35.44,17.1,0.0,9.76,18.4,10.07,17,23.25,19.83,9th and 10th grade,74.6,73.94,38.51,3.7,50.5492957746479,46.58
Manufacturing,"Manufacturing is the processing of raw materials or parts into finished goods through the use of tools, human labor, machinery, and chemical processing. Large-scale manufacturing allows for the mass production of goods using assembly line processes and advanced technologies as core assets. Efficient manufacturing techniques enable manufacturers to take advantage of economies of scale, producing more units at a lower cost.",investopedia,1,25.49,14.7,16.3,16.65,16.9,12.15,22,15.5,15.99,15th and 16th grade,72.1,71.09,31.31,4.7,43.9180327868853,29.12
Share Certificate,A share certificate is a written document signed on behalf of a corporation that serves as legal proof of ownership of the number of shares indicated. A share certificate is also referred to as a stock certificate.,investopedia,1,33.92,17.7,0.0,11.04,19.9,10.59,8,12.75,20.21,10th and 11th grade,73.1,72.18,35.85,3.7,48.7297297297297,40.37
Trade Line,A trade line is a record of activity for any type of credit extended to a borrower and reported to a credit reporting agency. A trade line is established on a borrower’s credit report when a borrower is approved for credit. The trade line records all of the activity associated with an account.,investopedia,1,53.51,10.2,13.6,8.58,8.9,8.39,11,12.1666666666667,13.12,8th and 9th grade,92.8,89.25,45.28,3.3,60.3207547169811,65.6
Coin,"Money, usually minted from some combination of metals.",6_8_louis,1,29.52,11.1,0.0,13.01,10.3,11.93,4,5.0,13.2,11th and 12th grade,78.7,74.24,37.84,3.8,67.75,50.61
Marketing,"Marketing refers to activities a company undertakes to promote the buying or selling of a product or service. Marketing includes advertising, selling, and delivering products to consumers or other businesses. Some marketing is done by affiliates on behalf of a company.",investopedia,1,32.19,12.2,14.1,13.8,11.7,10.48,15,10.5,12.31,11th and 12th grade,78.9,74.65,37.42,4.4,55.0975609756098,43.01
Marginal Profit,Marginal profit is the profit earned by a firm or individual when one additional or marginal unit is produced and sold. Marginal refers to the added cost or profit earned with producing the next unit. Marginal product is the additional revenue earned while the marginal cost is the added cost for producing one additional unit.,investopedia,1,52.9,10.4,14.1,11.2,11.1,8.28,8,12.8333333333333,10.23,10th and 11th grade,92.2,88.82,41.17,3.3,55.7272727272727,55.12
LOOPHOLES,"Exceptions or exemptions in a TAX code that can be legally exploited in order to reduce tax LIABILITIES. See also TAX AVOIDANCE, TAX EVASION.",palgrave,0,50.84,9.2,0.0,9.61,7.7,10.15,8,7.0,11.47,9th and 10th grade,92.6,91.0,44.52,3.1,64.8333333333333,66.7
Type II Errors,"A type II error is a statistical term used within the context of hypothesis testing that describes the error that occurs when one accepts a null hypothesis that is actually false. A type II error produces a false negative, also known as an error of omission. For example, a test for a disease may report a negative result, when the patient is, in fact, infected. This is a type II error because we accept the conclusion of the test as negative, even though it is incorrect.",investopedia,1,58.11,10.5,12.6,8.24,10.6,8.93,20,13.5,12.32,10th and 11th grade,94.9,89.71,45.04,3.2,57.8372093023256,65.94
conditional tail expectation CTE,Expectation of a random variable conditional on its falling below some threshold value. Often used as a measure of downside risk.,zvi,0,52.36,8.6,0.0,10.82,8.3,10.17,7,5.25,8.01,8th and 9th grade,94.1,89.54,42.1,3.0,65.6666666666667,60.02
Dynamic  Hedging,A  procedure  for  hedging  an  option  position  by  periodically changing  the position held in the underlying asset. The objective is usually to maintain a delta-neutral position.,opod,0,-9.41,17.8,0.0,14.2,11.9,12.18,12,11.0,14.43,11th and 12th grade,49.6,42.88,36.55,6.9,55.1538461538462,41.58
XR,See EX-RIGHTS.,palgrave,0,120.21,-3.1,0.0,1.3,10.2,19.53,0,0.0,0.8,-1th and 0th grade,144.8,142.54,41.15,-8.9,174.0,65.77
INSURED PERIL,A PERIL that is specifically covered by an INSURANCE CONTRACT.,palgrave,0,44.41,9.6,0.0,11.4,8.5,12.03,5,6.0,12.0,11th and 12th grade,88.6,84.7,41.26,3.4,66.0,60.06
Choice,A decision made between two or more possibilities or alternatives.,6_8_louis,1,27.49,11.9,0.0,13.72,10.4,8.87,3,7.0,16.0,11th and 12th grade,76.6,72.24,37.38,4.3,62.0,50.39
5/1 Hybrid Adjustable-Rate Mortgage (5/1 Hybrid ARM),"A 5/1 hybrid adjustable-rate mortgage (5/1 ARM) begins with an initial five-year fixed-interest rate period, followed by a rate that adjusts on an annual basis. The ""5"" in the term refers to the number of years with a fixed rate, and the ""1"" refers to how often the rate adjusts after that (once per year). As such, monthly payments can go up—sometimes dramatically—after five years.",investopedia,1,66.37,9.4,11.2,9.52,12.5,9.57,14,12.8333333333333,11.14,9th and 10th grade,100.7,95.07,42.85,2.7,53.7692307692308,56.03
Loan Servicing,"Loan servicing refers to the administrative aspects of a loan from the time the proceeds are dispersed to the borrower until the loan is paid off. Loan servicing includes sending monthly payment statements, collecting monthly payments, maintaining records of payments and balances, collecting and paying taxes and insurance (and managing escrow funds), remitting funds to the note holder, and following up any delinquencies.",investopedia,1,39.5,15.6,0.0,15.97,21.5,11.21,21,21.75,18.31,15th and 16th grade,78.7,73.48,29.52,4.0,40.7460317460317,22.2
Overvalued,"An overvalued stock has a current price that is not justified by its earnings outlook, known as profit projections, or its price-earnings (P/E) ratio. Consequently, analysts and other economic experts expect the price to drop eventually.",investopedia,1,44.75,11.5,0.0,13.69,14.1,11.11,13,12.5,14.98,11th and 12th grade,86.5,83.27,36.63,3.8,49.2777777777778,42.14
Coefficient of Determination,"The coefficient of determination is a statistical measurement that examines how differences in one variable can be explained by the difference in a second variable, when predicting the outcome of a given event. In other words, this coefficient, which is more commonly known as R-squared (or R2), assesses how strong the linear relationship is between two variables, and is heavily relied on by researchers when conducting trend analysis. To cite an example of its application, this coefficient may contemplate the following question: if a woman becomes pregnant on a certain day, what is the likelihood that she would deliver her baby on a particular date in the future? In this scenario, this metric aims to calculate the correlation between two related events: conception and birth.",investopedia,1,31.25,16.7,18.0,13.12,19.1,10.87,36,24.0,19.88,19th and 20th grade,72.9,70.42,34.37,4.2,45.8,34.82
LIMIT BUY ORDER,"An ORDER to buy SECURITIES if a target level is reached, with no assurance the order can be filled at the limit price. See also LIMIT SELL ORDER.",palgrave,0,65.73,7.6,0.0,5.97,5.4,7.71,4,7.0,8.46,7th and 8th grade,102.6,101.61,50.46,2.3,68.2857142857143,84.68
Endogenous,Inside the economic model; the opposite of EXOGENOUS (see also GROWTH).,economist,1,43.39,9.9,0.0,11.58,10.2,11.36,4,7.5,15.31,9th and 10th grade,87.6,82.56,41.09,3.6,60.8181818181818,51.13
Junior Security,A junior security is one that has a lower priority claim than other securities with respect to the income or assets of its issuer.,investopedia,1,38.66,13.8,0.0,8.65,11.6,10.09,7,15.0,14.6,14th and 15th grade,80.4,79.0,43.96,3.9,56.9166666666667,63.59
RISK AVERSION,"A characteristic of an individual or institution that prefers less, rather than more, RISK, and is willing to pay a price or accept a lower RETURN for protection/mitigation (through, for example, INSURANCE, DERIVATIVES, or other methods of RISK TRANSFER or HEDGING). See alsoRISK NEUTRALITY, RISK SEEKING.",palgrave,0,31.21,14.6,0.0,14.16,16.7,10.61,15,15.5,17.03,14th and 15th grade,75.4,71.42,35.07,4.5,45.5217391304348,37.09
LICENSED CARRIER,See ADMITTED INSURER.,palgrave,0,9.21,12.7,0.0,9.23,9.9,14.31,2,2.5,27.87,12th and 13th grade,65.8,58.47,35.95,1.2,125.666666666667,52.66
GNMA,See GOVERNMENT NATIONAL MORTGAGE ASSOCIATION.,palgrave,0,-35.13,19.4,0.0,24.68,19.7,13.36,3,4.5,18.0,19th and 20th grade,33.7,27.4,15.85,6.2,67.0,-7.41
RECOUPONING,"The process of MARKING-TO-MARKET and settling a PORTFOLIO of DERIVATIVES in order to reduce ACTUAL EXPOSURE between COUNTERPARTIES. A net cash SETTLEMENT is paid to the party holding the contracts with current value and the derivatives are then rewritten, or recou- poned, at current market levels. The process is then repeated at a future settle- ment period.",palgrave,0,43.73,11.9,13.6,12.76,13.2,10.12,17,12.8333333333333,12.51,12th and 13th grade,85.5,81.82,38.35,3.9,51.4561403508772,45.33
Regulatory risk,"A RISK faced by private-sector FIRMS that regulatory changes will hurt their business. In competitive markets, regulatory risk is usually small. But in NATURAL MONOPOLY industries, such as electricity distribution, it may be huge. To ensure that regulatory risk does not deter private firms from offering their services, a GOVERNMENT wishing to change its regulations may have good reason to compensate private firms that suffer losses as a result of the change.",economist,1,44.75,11.5,14.2,13.22,13.1,9.57,19,12.75,12.76,12th and 13th grade,86.5,80.68,37.44,4.0,51.3611111111111,44.82
Accretion,"Accretion is the gradual and incremental growth of assets and earnings due to business expansion, a company's internal growth, or a merger or acquisition.",investopedia,1,30.2,15.0,0.0,13.7,16.3,12.06,10,19.0,21.27,14th and 15th grade,74.4,68.62,35.47,4.7,46.9166666666667,36.38
Savings goal,A good or service that you want to buy in the future.,6_8_louis,1,93.14,3.3,0.0,1.67,1.1,5.55,1,5.0,4.8,4th and 5th grade,122.6,122.15,57.86,0.6,79.0,105.99
