terms,definitions,source,assigned_readability,flesch_reading_ease,flesch_kincaid_grade,smog_index,coleman_liau_index,automated_readability_index,dale_chall_readability_score,linsear_write_formula,gunning_fog
X-Efficiency,"X-efficiency refers to the degree of efficiency maintained by firms under conditions of imperfect competition. Efficiency in this context means a company getting the maximum outputs from its inputs, including employee productivity and manufacturing efficiency. In a highly competitive market, firms are forced to be as efficient as possible to ensure strong profits and continued existence. This is not true in situations of imperfect competition, such as with a monopoly or duopoly.",investopedia,1,19.37,15.0,16.8,14.96,14.5,10.67,14.75,16.09
CROSS-ASSET HEDGE,"A proxy or substitute HEDGE that is used when an exact replicating hedge is not available, generally by identifying a refer- ence (e.g., a DERIVATIVE) that has a high degree of CORRELATION with the underlying RISK exposure requiring protection. Although a highly correlated cross-asset hedge introduces elements of BASIS RISK, it reduces or eliminates first-order MARKET RISKS, including DIRECTIONAL RISK or VOLATILITY RISK. Also known as CROSS HEDGE.",palgrave,0,31.51,14.5,16.7,14.57,16.5,12.19,17.0,19.08
Deferred Tax Liability,"A deferred tax liability is a tax that is assessed or is due for the current period but has not yet been paid—meaning that it will eventually come due. The deferral comes from the difference in timing between when the tax is accrued and when the tax is paid. A deferred tax liability records the fact the company will, in the future, pay more income tax because of a transaction that took place during the current period, such as an installment sale receivable.",investopedia,1,-4.32,34.5,0.0,10.12,41.7,10.8,17.5,36.57
Impeachment,"Impeachment, as authorized by Article II, Section 4 of the U.S. Constitution, is the formal process that allows Congress to bring charges of ""Treason, Bribery, or other high Crimes and Misdemeanors"" against high-ranking civil officers, such as the president.",investopedia,1,51.68,10.9,0.0,13.63,14.9,13.51,13.75,14.98
Hyperledger Composer,"Hyperledger Composer is a set of open source tools that allows business owners, operators, and developers a way to create blockchain applications and smart contracts aimed at solving business problems and/or improving operational efficiencies. It is an example of a commercial application of blockchain-as-a-service (BaaS). Hyperledger Composer is one of the several Hyperledger projects hosted by The Linux Foundation in collaboration with corporate members.﻿﻿﻿﻿",investopedia,1,24.48,15.1,17.5,18.04,18.8,11.85,17.0,17.27
LONG THE BASIS,An ARBITRAGE or TRADING strategy where a LONG POSITION in a cash instrument is HEDGED by a SHORT POSITION in FUTURES or FORWARDS.,palgrave,0,48.13,12.3,0.0,9.75,12.0,10.27,16.5,16.16
Insurtech,"Insurtech refers to the use of technology innovations designed to squeeze out savings and efficiency from the current insurance industry model. Insurtech is a combination of the words “insurance” and “technology,” inspired by the term fintech.",investopedia,1,36.28,12.7,0.0,15.43,14.8,10.67,13.0,13.87
LOGNORMAL DISTRIBUTION,"A single-tailed statistical distribution of a RANDOM VARIABLE where the logarithm is normally distributed, i.e., for any normally distributed variable x, y = exp(x) features a lognormal distribution. Financial ASSETS are often modeled using the lognormal distribution. The probability density function is given as:1where x is an observation, μ is the MEAN, σ is the STANDARD DEVIATION. See also KURTOSIS, NORMAL DISTRIBUTION, SKEWNESS.",palgrave,0,21.9,14.1,15.6,15.66,14.7,12.3,12.625,13.94
SNIF,See STANDBY NOTE ISSUANCE FACILITY.,palgrave,0,32.56,10.0,0.0,13.08,10.3,13.36,2.5,10.0
Capital Leases,"A capital lease is a contract entitling a renter to the temporary use of an asset, and such a lease has the economic characteristics of asset ownership for accounting purposes. The capital lease requires a renter to book assets and liabilities associated with the lease if the rental contract meets specific requirements. In essence, a capital lease is considered a purchase of an asset, while an operating lease is handled as a true lease under generally accepted accounting principles (GAAP).",investopedia,1,35.91,14.9,17.9,12.6,16.4,10.49,20.0,18.68
FAANG Stocks,"In finance, “FAANG” is an acronym that refers to the stocks of five prominent American technology companies: Facebook (FB), Amazon (AMZN), Apple (AAPL), Netflix (NFLX); and Alphabet (GOOG) (formerly known as Google).",investopedia,1,39.0,15.8,0.0,13.41,21.8,14.6,22.0,19.05
Underlying Variable,A variable on which the price of an option or other derivative depends.,opod,0,66.74,7.2,0.0,7.7,6.5,9.14,6.5,8.28
TERM REPURCHASE AGREEMENT,"A REPURCHASE AGREEMENT with a final MATURITY ranging from 7 to 30 days; the opposite side of the transaction is referred to as a term REVERSE REPURCHASE AGREEMENT. See also OPEN REPURCHASE AGREEMENT, OVERNIGHT REPURCHASE AGREEMENT.CASE RISK EXPOSURE, TERMINAL WORST-CASE RISK EXPOSURE.",palgrave,0,41.7,12.7,0.0,15.43,16.4,10.32,16.0,14.11
EQUITY BRIDGE,See BRIDGE EQUITY.,palgrave,0,59.97,5.6,0.0,3.43,5.2,9.05,1.5,14.53
STRIKING PRICE,See STRIKE PRICE.,palgrave,0,119.19,-2.7,0.0,1.52,3.6,9.05,0.5,1.2
Cost-Benefit Analysis,"A cost-benefit analysis is a systematic process that businesses use to analyze which decisions to make and which to forgo. The cost benefit analyst sums the potential rewards expected from a situation or action and then subtracts the total costs associated with taking that action. Some consultants or analysts also build models to assign a dollar value on intangible items, such as the benefits and costs associated with living in a certain town.",investopedia,1,29.89,15.1,16.7,12.6,15.0,10.47,17.8333333333333,17.94
SURPLUS NOTES,"SUBORDINATED DEBT that functions in a manner simi- lar to CONTINGENT , except that SECURITIES are issued directly by the company rather than through a TRUST. Surplus notes haveMATURITIES ranging from 10 to 30 years, and must generally be approved byINSURANCE REGULATORS.",palgrave,0,33.75,13.6,0.0,14.39,15.1,12.74,15.0,16.0
Housing Bubble,"A housing bubble, or real estate bubble, is a run-up in housing prices fueled by demand, speculation, and exuberant spending to the point of collapse. Housing bubbles usually start with an increase in demand, in the face of limited supply, which takes a relatively extended period to replenish and increase. Speculators pour money into the market, further driving up demand. At some point, demand decreases or stagnates at the same time supply increases, resulting in a sharp drop in prices—and the bubble bursts.",investopedia,1,41.9,12.6,13.0,11.84,13.4,9.61,13.375,14.1
MANDATORY BID,"In the United Kingdom, a requirement under the CITY CODE stipulating that an acquiring company must submit a formal BID for a TAKEOVER target once it has amassed 30% of the target’s SHARES in the market.",palgrave,0,43.4,16.2,0.0,9.88,18.6,10.69,22.0,17.73
DISCRETIONARY TRUST,"A TRUST or INVESTMENT trust where a TRUSTEE or other designated person has the ability to invest the BENEFICIARY’S ASSETS as deemed best, without specific constraints or within certain general param- eters. See also BLIND TRUST.",palgrave,0,44.75,11.5,0.0,12.87,12.8,10.23,12.0,12.76
agency costs,"costs that arise when an agent (e.g., a manager) does not act solely in the interests of the principal (e.g., the shareholder).",prin,0,66.07,9.5,0.0,7.78,12.3,10.47,15.0,14.25
Quant Fund,A quant fund is an investment fund whose securities are chosen based on numerical data compiled through quantitative analysis. These funds are considered non-traditional and passive. They are built with customized models using software programs to determine investments.,investopedia,1,33.2,11.8,13.6,16.81,13.8,13.41,8.66666666666667,15.61
Brand Equity,"Brand equity refers to a value premium that a company generates from a product with a recognizable name when compared to a generic equivalent. Companies can create brand equity for their products by making them memorable, easily recognizable, and superior in quality and reliability. Mass marketing campaigns also help to create brand equity.",investopedia,1,28.13,13.7,16.3,13.74,13.3,10.77,14.1666666666667,16.14
branches,Additional offices of banks that conduct banking operations.,fmi,0,21.06,12.3,0.0,18.05,13.8,15.88,5.0,13.2
Volatility Quote Trading,"Volatility is a statistical measure of the dispersion of returns for a given security or market index. In most cases, the higher the volatility, the riskier the security. Volatility is often measured as either the standard deviation or variance between returns from that same security or market index.",investopedia,1,38.32,11.9,13.0,12.53,11.5,8.71,11.0,10.57
Historic Pricing,Historic pricing is a unit pricing method used to calculate the value of an asset using the last valuation point calculated. Historic pricing is used when the value of an asset does not update in real time.,investopedia,1,61.16,9.3,0.0,9.23,9.6,8.82,10.75,10.64
Stochastic Variable,A variable whose future value is uncertain.,opod,0,55.91,7.2,0.0,9.87,7.0,10.75,3.5,8.51
DEUTSCHE BUNDESBANK,See BUNDESBANK.which generally arises from the interaction of free market forces over a period of time.,palgrave,0,38.32,11.9,0.0,13.63,12.5,10.35,12.0,16.4
Sale,"A sale is a transaction between two or more parties in which the buyer receives tangible or intangible goods, services, or assets in exchange for money. In some cases, other assets are paid to a seller. In the financial markets, a sale can also refer to an agreement that a buyer and seller make regarding the price of a security.",investopedia,1,59.64,9.9,11.2,8.24,9.9,8.84,12.0,12.0
capital markets,"Includes longer-term, relatively riskier securities.",zvi,0,-35.13,19.4,0.0,30.48,26.3,19.67,3.5,18.0
Justified Wage,"A justified wage refers to an income level determined by market dynamics, work experience, education, and skill. A justified wage is the wage level that is high enough to attract workers but low enough to enable employers to offer employment. The divergence between a justified wage and the legal minimum wage may depend on several factors including the state of the economy and level of unemployment.",investopedia,1,40.69,13.1,15.9,11.72,13.5,9.51,16.0,16.07
Average cost,"Refer to  cost, average.      ",sam,1,-93.33,27.3,0.0,2.9,4.1,11.73,2.0,11.6
Understanding Estoppel,Estoppel is a legal principle that prevents someone from arguing something or asserting a right that contradicts what they previously said or agreed to by law. It is meant to prevent people from being unjustly wronged by the inconsistencies of another person's words or actions.,investopedia,1,48.64,12.1,0.0,12.77,14.3,10.37,15.25,15.22
Cash advance,"A short-term loan from a bank or alternative lender that features fast approval and quick funding, but it often comes with higher fees than other options.",6_8_louis,1,62.01,11.1,0.0,11.15,14.9,10.39,14.0,11.94
Marketing Mix,"A marketing mix includes multiple areas of focus as part of a comprehensive marketing plan. The term often refers to a common classification that began as the four Ps: product, price, placement, and promotion.",investopedia,1,45.76,11.1,0.0,11.42,11.5,10.52,11.5,12.68
Four Percent Rule,"The Four Percent Rule is a rule of thumb used to determine how much a retiree should withdraw from a retirement account each year. This rule seeks to provide a steady income stream to the retiree while also maintaining an account balance that keeps income flowing through retirement. Experts are divided on whether the 4% withdrawal rate is safe, as the withdrawals will consist primarily of interest and dividends.",investopedia,1,56.59,11.1,13.0,12.02,13.9,9.81,14.5,13.84
Credit union,A nonprofit financial institution that is owned by its members.,6_8_louis,1,44.41,9.6,0.0,11.98,9.0,12.03,7.0,16.0
COMMODITY,"A nonfinancial good representing an input or raw material for production or consumption. A commodity can be bought or sold in the  MARKETS in cash or DERIVATIVE form, and can be divided into various sectors, including:Precious Metals: Gold, Silver, Platinum, Palladium, Iridium, Osmium, Rhodium, RutheniumIndustrial Metals: Aluminum, Chrome, Copper, Lead, Mercury, Nickel, Selenium, Tin, Titanium, ZincEnergy: Crude oil, Gas oil, Heating oil, Unleaded gasoline, Natural gas, CoalLivestock: Feeder cattle, Live cattle, Live hogs, Pork belliesSOFTS: Coffee, Cocoa, Cotton, Orange Juice, Rubber, Sugar, Silk, Timber, WoolGRAINS: Beans, Barley, Canola, Corn, Millet, Oats, Oilseed, Rice, Rye, Sorghum, Soybeans, Soybean meal, Wheat",palgrave,0,-4.16,26.1,0.0,17.25,33.2,13.27,34.75,27.88
Implied Correlation,Correlation number implied from the price of a credit derivative using the Gaussian copula or similar model.,opod,0,28.84,13.5,0.0,13.45,12.6,12.84,12.5,16.21
tax-protected retirement plans,"Employer-sponsored and other plans that protect either contributions or investment earnings from taxes, at least until after retirement.",zvi,0,19.37,15.0,0.0,19.78,18.7,11.55,13.0,16.09
Risk-Neutral World,A world where investors are assumed to require no extra return on average for bearing risks.,opod,0,63.7,8.4,0.0,9.97,9.2,10.35,8.0,8.9
European System of Central Banks @ESCB@,A banking system that consists of the European Central Bank @ECB@ and the national central banks @NCBs@ of all 28 member states of the European Union @EU@.,fmi,0,60.99,11.5,0.0,9.23,14.6,11.99,16.5,13.76
Total Enterprise Value (TEV),Total enterprise value (TEV) is a valuation measurement used to compare companies with varying levels of debt. Total enterprise value includes not only a company's equity value but also the market value of its debt while subtracting out cash and cash equivalents.,investopedia,1,33.24,13.8,0.0,12.71,14.0,9.94,15.0,16.02
PROBABILITY OF RUIN,"The likelihood that the distribution of average losses exceeds a BENCHMARK SOLVENCY value (i.e., a minimum amount of CAPITAL surplus or tangible NET WORTH), leading to a company’s BANKRUPTCY. Probability of ruin is incorporated in certain DEFAULT models.",palgrave,0,18.35,15.4,0.0,14.62,15.0,12.47,15.0,18.13
Market Basket,A market basket is a selected group of products or assets designed to track the general performance of a specific market segment. This is sometimes known as a basket of goods.,investopedia,1,64.2,8.2,0.0,9.16,8.4,7.97,8.75,10.07
WMBA,See WHOLESALE MARKETS BROKERS ASSOCIATION.,palgrave,0,-1.29,14.7,0.0,21.2,16.9,16.52,2.5,10.0
S&P 500 Dividend Aristocrats Index,The S&P 500 Dividend Aristocrats Index is a list of companies in the S&P 500 with a track record of increasing dividends for at least 25 consecutive years.,investopedia,1,51.52,13.0,0.0,9.12,14.3,11.79,20.0,19.77
DELTA,"The change in the value of an OPTION for a change in the value of the UNDERLYING market reference, all other variables held constant. Thus, the value of a purchased CALL OPTION increases as the price of the underlying asset increases, by an amount estimated through delta. Similar determinations can be made for LONG POSITIONS and SHORT POSITIONS in PUTS and calls. The value of delta is often used as a measure of DIRECTIONAL RISK and can be used to create an appropriate  HEDGE. The deltas of the call and put under the BLACK-SCHOLES MODEL are given by:Dc = dc = N (d1) dsΔP = d p = N (−d1 ) dswhere2and S is the STOCK price, X is the STRIKE PRICE, t is the time to MATURITY,rf is the RISK-FREE RATE, σ2 is the VARIANCE, and where the N value of N(d1) can be obtained from a standard table of probability functions.The deltas of LONG and SHORT puts and calls are given as:See also DURATION, GAMMA, GREEKS, VEGA, THETA, RHO.",palgrave,0,46.24,15.1,13.3,8.48,16.6,10.04,12.4,16.17
Key Rate Duration,"Key rate duration measures how the value of a debt security or a debt instrument portfolio, generally bonds, changes at a specific maturity point along the entirety of the yield curve. When keeping other maturities constant, the key rate duration is used to measure the sensitivity in a debt security's price to a 1% change in yield for a specific maturity.",investopedia,1,32.06,16.4,0.0,10.98,16.9,10.07,22.25,19.41
FIRM QUOTE,"A BID and/or OFFER supplied by a DEALER or MARKET MAKER to a BROKER or client that can be regarded as reliable and action- able. Also known as FIRM PRICE. See also INDICATIVE QUOTE, QUOTED SPREAD.",palgrave,0,67.76,6.8,8.8,6.83,5.6,9.5,6.0,8.13
LAG,"The time period between the occurrence of a loss, or filing of a CLAIM by the INSURED, and the receipt of a SETTLEMENT from the INSURER.",palgrave,0,53.55,12.3,0.0,7.09,11.7,9.18,17.0,15.02
Primary dealers,Banks and securities broker-dealers that trade in U.S. government securities with the Federal Reserve Bank of New York.,6_8_louis,1,44.75,11.5,0.0,13.98,14.3,12.42,14.0,11.64
E-Mini,"An E-mini is an electronically traded futures contract that is a fraction of the value of a corresponding standard futures contract. E-minis are predominantly traded on the Chicago Mercantile Exchange (CME) and are available on a wide range of indexes, such as the NASDAQ 100, S&P 500, S&P MidCap 400, and Russell 2000, commodities, and currencies.",investopedia,1,34.6,15.4,0.0,11.9,17.2,12.92,18.5,16.2
Hot IPO,"The term hot IPO refers to an initial public offering with significant demand. These IPOs are popular, drawing a tremendous amount of interest from investors and the media even before they hit the market. This hype and attention generally lead to a significant rise in share prices after the company goes public. Hot IPOs may be risky, especially when it comes to investing in companies that don't have a proven track record of success.",investopedia,1,61.16,9.3,12.6,10.62,10.9,9.25,12.0,11.72
AVERAGE OPTION,See ASIAN OPTION.,palgrave,0,93.81,0.9,0.0,1.52,3.6,14.31,0.5,1.2
PRICE SPREAD,"See BEAR SPREAD, BULL SPREAD.",palgrave,0,117.16,-1.9,0.0,4.96,4.6,0.25,1.5,2.0
Options,"Options are financial instruments that are derivatives based on the value of underlying securities such as stocks. An options contract offers the buyer the opportunity to buy or sell—depending on the type of contract they hold—the underlying asset. Unlike futures, the holder is not required to buy or sell the asset if they choose not to.",investopedia,1,44.03,11.8,12.5,11.72,11.8,9.64,12.0,12.48
Puttable Bond,A bond where the holder has the right to sell it back to the issuer at certain predetermined times for a predetermined price.,opod,0,65.05,9.9,0.0,8.71,11.2,7.52,13.5,10.94
DISCOUNT WINDOW,"In the United States, a facility, made available by the FEDERAL RESERVE BANKS, that permits authorized MEMBER BANKS to bor- row short-term funds on an emergency basis in order to balance cash outflows.",palgrave,0,37.98,16.2,0.0,11.96,19.2,11.49,20.5,18.05
NET BOOK VALUE,"The value of an ASSET on the corporate BALANCE SHEET, typically reflecting the original cost of purchase or the latest valuation, less accumulated DEPRECIATION. Also known as BOOK VALUE, DEPRECIATED VALUE.",palgrave,0,21.9,14.1,0.0,14.21,12.9,10.52,11.75,16.52
TREATY FACILITY,A mechanism allowing a CAPTIVE to access the REINSURANCE markets for large exposures. The facility generally reinsures a small percentage of the captive’s exposures and then RETROCEDES the bal- ance through TREATY REINSURANCE.,palgrave,0,37.81,12.1,0.0,16.01,14.5,12.11,12.75,15.08
PROXY,(1) A document that conveys a COMMON STOCK SHAREHOLDER’s right to vote. (2) A person or institution authorized to vote on behalf of a shareholder.,palgrave,0,46.1,13.0,0.0,9.93,14.1,11.19,17.5,18.0
Welfare Economics,"Welfare economics is the study of how the allocation of resources and goods affects social welfare. This relates directly to the study of economic efficiency and income distribution, as well as how these two factors affect the overall well-being of people in the economy. In practical terms, welfare economists seek to provide tools to guide public policy to achieve beneficial social and economic outcomes for all of society. However, welfare economics is a subjective study that depends heavily on chosen assumptions regarding how welfare can be defined, measured, and compared for individuals and society as a whole.",investopedia,1,29.89,15.1,16.5,13.7,16.1,10.38,17.625,16.73
Depository institution,"A financial institution such as a savings bank, commercial bank, savings and loan association, or credit union that is legally allowed to accept monetary deposits from consumers.",6_8_louis,1,27.15,16.2,0.0,14.8,18.6,11.41,18.5,18.21
comparison universe,"The set of money managers employ-ing similar investment styles, used for assessing the relative performance of a portfolio manager.",zvi,0,26.81,14.2,0.0,16.3,16.1,12.89,17.5,20.23
DEBT SERVICE,"Contractually required CASH FLOWS that a BORROWER must pay on a LOAN, BOND, LEASE, or other form of DEBT, generally com- prised of COUPON INTEREST, a fractional portion of PRINCIPAL (payable into a SINKING FUND), and/or a LEASE payment. See also  COVERAGE.",palgrave,0,50.16,11.5,0.0,10.62,13.1,11.82,14.0,15.07
Income tax,"A much-loathed method of TAXATION based on earnings. It was first collected in 1797 by the Dutch Batavian Republic. In the UK it was introduced in 1799 as a “temporary” measure to finance a war against Napoleon, abolished in 1816 and reintroduced, forever, in 1842. In most countries, people do not pay it until their INCOME exceeds a minimum threshold, and richer people pay a higher rate of income tax than poorer people. Since the 1980s, the unpopularity with voters of high rates of income tax and concern that high rates discourage valuable economic activity have led many governments to reduce income-tax rates. However, this has not necessarily reduced the amount of total revenue collected in income tax (see LAFFER CURVE). Nor do governments that have reduced income tax rates always cut other sorts of taxes; on the contrary, they have often increased them sharply to make up for any revenue lost as a result of lower rates of income tax.",economist,1,56.59,11.1,12.0,10.68,13.1,9.68,12.6,12.68
ALTERNATIVE INVESTMENT,"The broad category of INVESTMENTS that excludes the traditional classes of EQUITIES, FIXED INCOME, and cash. Alternative investments can include HEDGE FUNDS, COMMODITIES, real estate, PRIVATE EQUITY, managed FUTURES, and INSURANCE-LINKED SECURITIES. Alternatives are often selected by investors as they can be uncorrelated with traditional asset classes, helping improve PORTFOLIO DIVERSIFICATION.",palgrave,0,11.92,15.8,16.3,20.53,19.1,13.15,13.8333333333333,17.78
PRESENTING BANK,"A BANK that seeks payment on a BILL OF EXCHANGE, DRAFT, or CHECK from the bank on which the order has been drawn.",palgrave,0,90.43,6.4,0.0,5.23,8.7,6.84,11.5,9.2
Fungible,"You can't tell them apart. Something is fungible when any one single specimen is indistinguishable from any other. Somebody who is owed $1 does not care which particular dollar he gets. Anything that people want to use as money must be fungible, whether it be gold bars, beads or shells.",economist,1,75.71,5.8,9.5,8.51,7.2,7.73,6.5,8.2
Nasdaq Capital Market,"The Nasdaq Capital Market is one of Nasdaq's U.S. market tiers containing early-stage companies that have relatively lower market capitalizations. Listing requirements for companies on the Nasdaq Capital Market are less stringent than for the two other Nasdaq market tiers, which focus on larger companies with higher market capitalization.",investopedia,1,21.23,16.4,0.0,16.89,19.0,10.33,17.25,14.7
Convexity,A measure of the curvature in the relationship between bond prices and bond yields.,opod,0,65.73,7.6,0.0,10.72,9.1,9.97,8.0,11.31
Range  Forward  Contract,The  combination  of  a  long  call  and  short  put  or  the combination of a short call and long put.,opod,0,35.27,13.1,0.0,5.28,6.7,5.41,11.5,9.71
Godfather Offer,"A Godfather offer is an irrefutable takeover bid made to a target company by an acquirer. Typically, the offer is priced at an extremely generous premium compared with the target's prevailing share price, making it difficult for management to reject the bid without angering shareholders and being accused of breaching their fiduciary duty.",investopedia,1,27.66,16.0,0.0,13.99,17.4,11.21,19.75,19.66
PRIVATE COMPANY,"A company whose SHARES are held by the DIRECTORS and SHAREHOLDERS, but which do not trade publicly. A private company is not typically subject to the same public disclosure rules as PUBLIC COMPANIES. See also CLOSE COMPANY, CLOSELY HELD COMPANY.",palgrave,0,49.52,9.7,13.0,11.01,9.5,8.24,8.66666666666667,10.32
Substitution rule,"A rule which asserts that if the price of one factor falls while all other factor prices remain   t by sub-stituting the now-cheaper factor for all the other factors. The rule is a corollary of the  least-cost rule.      Supply curve @   or      supply schedule@.    A schedule showing the quantity of a good that suppliers in a given market desire to sell at each price, holding other things equal.     ",sam,1,20.55,18.7,0.0,9.64,17.4,9.3,8.25,15.19
Foreign Exchange Markets,Foreign Exchange Markets,ncert_keec111,1,34.59,9.2,0.0,16.95,14.6,14.31,0.5,1.2
